"site","code","subplot","sample","stigpall","apharudi","aphacaro","aphafulv","bracdepi","camppenn","campamer","campchro","campsubb","campnear","cremminu","formsubs","lasialie","lasiumbr","monomini","monoamer","myrmlati","myrmpine","myrmpunc","myrmspat","nylafais","ponepenn","prenimpa","procsila","struclyp","struohio","pyraorna","strurost","solemole","stenmeri","stenbrev","stendiec","stenimpa","stenschm","stenunkn","tapisess","temnlong","temncurv","site_name","utm_n","utm_e","n","e","elevation_m","sample_x","sample_y"
"ALGR","ALGRLS04B1","B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293754.5,3956657.5
"ALGR","ALGRLS04B2","B",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293763.5,3956657.5
"ALGR","ALGRLS04B3","B",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293754.5,3956648.5
"ALGR","ALGRLS04B4","B",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293763.5,3956648.5
"ALGR","ALGRLS04C1","C",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293714.5,3956617.5
"ALGR","ALGRLS04C2","C",2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,3,1,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293723.5,3956617.5
"ALGR","ALGRLS04C3","C",3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293714.5,3956608.5
"ALGR","ALGRLS04C4","C",4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293723.5,3956608.5
"ALGR","ALGRLS04D1","D",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293754.5,3956617.5
"ALGR","ALGRLS04D2","D",2,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293763.5,3956617.5
"ALGR","ALGRLS04D3","D",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293754.5,3956608.5
"ALGR","ALGRLS04D4","D",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293763.5,3956608.5
"BAGA","BAGALS05A1","A",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302477.5,3945515.5
"BAGA","BAGALS05A2","A",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302486.5,3945515.5
"BAGA","BAGALS05A3","A",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302477.5,3945506.5
"BAGA","BAGALS05A4","A",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302486.5,3945506.5
"BAGA","BAGALS05B1","B",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302517.5,3945515.5
"BAGA","BAGALS05B2","B",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302526.5,3945515.5
"BAGA","BAGALS05B3","B",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302517.5,3945506.5
"BAGA","BAGALS05B4","B",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302526.5,3945506.5
"BAGA","BAGALS05C1","C",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302477.5,3945475.5
"BAGA","BAGALS05C2","C",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302486.5,3945475.5
"BAGA","BAGALS05C3","C",3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,6,0,4,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302477.5,3945466.5
"BAGA","BAGALS05C4","C",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302486.5,3945466.5
"BAGA","BAGALS05D1","D",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302517.5,3945475.5
"BAGA","BAGALS05D2","D",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302526.5,3945475.5
"BAGA","BAGALS05D3","D",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302517.5,3945466.5
"BAGA","BAGALS05D4","D",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balsam Gap",3945491,302502,35.6334869945852,-83.1810964760178,1342,302526.5,3945466.5
"CATA","CATALS04A1","A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311338.5,3939992.5
"CATA","CATALS04A2","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311347.5,3939992.5
"CATA","CATALS04A3","A",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311338.5,3939983.5
"CATA","CATALS04A4","A",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311347.5,3939983.5
"CATA","CATALS04B1","B",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311378.5,3939992.5
"CATA","CATALS04B2","B",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311387.5,3939992.5
"CATA","CATALS04B3","B",3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311378.5,3939983.5
"CATA","CATALS04B4","B",4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311387.5,3939983.5
